id,session_time_ms,race_time_ms,frame_id,filename,soc,drive_torque,steer_angle,status,pos_x,pos_y,pos_z,yaw,error_code
78,0,0,78,frame_000078.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004346,0.000000,0.000,999
79,54,0,79,frame_000079.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004347,0.000000,0.000,999
80,108,0,80,frame_000080.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004347,0.000000,0.000,999
81,160,0,81,frame_000081.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004347,0.000000,0.000,999
82,210,0,82,frame_000082.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004348,0.000000,0.000,999
83,264,0,83,frame_000083.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004348,0.000000,0.000,999
84,314,0,84,frame_000084.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004348,0.000000,0.000,999
85,368,0,85,frame_000085.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004349,0.000000,0.000,999
86,420,0,86,frame_000086.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004349,0.000000,0.000,999
87,473,0,87,frame_000087.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004349,0.000000,0.000,999
88,523,0,88,frame_000088.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004349,0.000000,0.000,999
89,575,0,89,frame_000089.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
90,626,0,90,frame_000090.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
91,678,0,91,frame_000091.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
92,731,0,92,frame_000092.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
93,786,0,93,frame_000093.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
94,839,0,94,frame_000094.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
95,891,0,95,frame_000095.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
96,944,0,96,frame_000096.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004350,0.000000,0.000,999
97,995,0,97,frame_000097.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
98,1046,0,98,frame_000098.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
99,1097,0,99,frame_000099.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
100,1148,0,100,frame_000100.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
101,1201,0,101,frame_000101.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
102,1251,0,102,frame_000102.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
103,1302,0,103,frame_000103.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
104,1352,0,104,frame_000104.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
105,1404,0,105,frame_000105.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
106,1456,0,106,frame_000106.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
107,1506,0,107,frame_000107.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
108,1558,0,108,frame_000108.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
109,1611,0,109,frame_000109.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
110,1662,0,110,frame_000110.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
111,1713,0,111,frame_000111.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
112,1765,0,112,frame_000112.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
113,1816,0,113,frame_000113.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
114,1870,0,114,frame_000114.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
115,1921,0,115,frame_000115.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
116,1973,0,116,frame_000116.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
117,2024,0,117,frame_000117.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
118,2075,0,118,frame_000118.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
119,2127,0,119,frame_000119.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
120,2180,0,120,frame_000120.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
121,2232,0,121,frame_000121.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
122,2283,0,122,frame_000122.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
123,2333,0,123,frame_000123.jpg,1.000,0.000,0.000,StartSequence,-0.700005,0.004351,0.000000,0.000,999
