id,session_time_ms,race_time_ms,filename,soc,drive_torque,steer_angle,status,pos_z,pos_x,yaw,pos_y,error_code
93,0,0,frame_000093.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004350,999
94,57,0,frame_000094.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004350,999
95,108,0,frame_000095.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004350,999
96,159,0,frame_000096.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
97,215,0,frame_000097.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
98,267,0,frame_000098.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
99,318,0,frame_000099.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
100,372,0,frame_000100.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
101,426,0,frame_000101.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
102,479,0,frame_000102.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
103,531,0,frame_000103.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
104,581,0,frame_000104.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
105,637,0,frame_000105.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
106,689,0,frame_000106.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
107,742,0,frame_000107.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
108,793,0,frame_000108.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700003,0.000,0.004351,999
109,848,0,frame_000109.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
110,902,0,frame_000110.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
111,954,0,frame_000111.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
112,1011,0,frame_000112.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
113,1065,0,frame_000113.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
114,1118,0,frame_000114.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
115,1173,0,frame_000115.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
116,1227,0,frame_000116.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
117,1281,0,frame_000117.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
118,1333,0,frame_000118.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
119,1383,0,frame_000119.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
120,1439,0,frame_000120.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
121,1491,0,frame_000121.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
122,1547,0,frame_000122.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
123,1602,0,frame_000123.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
124,1657,0,frame_000124.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
125,1712,0,frame_000125.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
126,1764,0,frame_000126.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
127,1817,0,frame_000127.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
128,1873,0,frame_000128.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
129,1927,0,frame_000129.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
130,1982,0,frame_000130.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
131,2036,0,frame_000131.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
132,2092,0,frame_000132.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
133,2145,0,frame_000133.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
134,2196,0,frame_000134.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
135,2250,0,frame_000135.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
136,2300,0,frame_000136.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
137,2355,0,frame_000137.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
138,2408,0,frame_000138.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
139,2463,0,frame_000139.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
140,2513,0,frame_000140.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
141,2567,0,frame_000141.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
142,2618,0,frame_000142.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
143,2670,0,frame_000143.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
144,2724,0,frame_000144.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
145,2781,0,frame_000145.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
146,2832,0,frame_000146.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
147,2887,0,frame_000147.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
148,2941,0,frame_000148.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
149,2998,0,frame_000149.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
150,3049,0,frame_000150.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
151,3102,0,frame_000151.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
152,3157,0,frame_000152.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700003,0.000,0.004351,999
153,3209,0,frame_000153.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
154,3263,0,frame_000154.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
155,3313,0,frame_000155.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
156,3364,0,frame_000156.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
157,3419,0,frame_000157.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
158,3473,0,frame_000158.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
159,3525,0,frame_000159.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
160,3577,0,frame_000160.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
161,3632,0,frame_000161.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
162,3683,0,frame_000162.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
163,3736,0,frame_000163.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
164,3789,0,frame_000164.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
165,3840,0,frame_000165.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
166,3894,0,frame_000166.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
167,3948,0,frame_000167.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700002,0.000,0.004351,999
168,4003,21,frame_000168.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
169,4058,76,frame_000169.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
170,4113,131,frame_000170.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
171,4166,184,frame_000171.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
172,4216,234,frame_000172.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
173,4275,292,frame_000173.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
174,4329,346,frame_000174.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
175,4384,402,frame_000175.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
176,4438,456,frame_000176.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700003,0.000,0.004351,999
177,4492,510,frame_000177.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
178,4547,565,frame_000178.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
179,4601,619,frame_000179.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
180,4652,669,frame_000180.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
181,4707,725,frame_000181.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
182,4759,777,frame_000182.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
183,4815,833,frame_000183.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
184,4867,885,frame_000184.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.700002,0.000,0.004351,999
185,4920,937,frame_000185.jpg,1.000,0.250,0.000,Lap0,0.002582,-0.700002,0.000,0.004351,999
186,4974,992,frame_000186.jpg,1.000,0.500,0.000,Lap0,0.017381,-0.700002,0.000,0.004351,999
187,5028,1045,frame_000187.jpg,1.000,0.500,0.000,Lap0,0.044877,-0.700002,0.000,0.004351,999
188,5081,1099,frame_000188.jpg,1.000,0.750,0.000,Lap0,0.079812,-0.700002,0.000,0.004351,999
189,5135,1153,frame_000189.jpg,0.999,1.000,0.000,Lap0,0.125577,-0.700002,0.000,0.004350,999
190,5193,1211,frame_000190.jpg,0.999,1.000,0.000,Lap0,0.189127,-0.700002,0.000,0.004349,999
191,5245,1263,frame_000191.jpg,0.999,1.000,0.000,Lap0,0.251519,-0.700002,0.000,0.004346,999
192,5301,1318,frame_000192.jpg,0.999,1.000,0.000,Lap0,0.319688,-0.700002,0.000,0.004343,999
193,5353,1371,frame_000193.jpg,0.999,1.000,0.000,Lap0,0.386202,-0.700002,0.000,0.004902,999
194,5404,1422,frame_000194.jpg,0.999,1.000,0.000,Lap0,0.454501,-0.700002,0.000,0.005424,999
195,5456,1474,frame_000195.jpg,0.999,1.000,0.000,Lap0,0.527159,-0.700002,0.001,0.007985,999
196,5511,1529,frame_000196.jpg,0.999,1.000,0.000,Lap0,0.608883,-0.700037,-0.125,0.004289,999
197,5565,1583,frame_000197.jpg,0.998,1.000,0.000,Lap0,0.680440,-0.700197,-0.184,0.004845,999
198,5620,1638,frame_000198.jpg,0.998,1.000,0.000,Lap0,0.750456,-0.700430,-0.216,0.004119,999
199,5673,1691,frame_000199.jpg,0.998,1.000,0.000,Lap0,0.818489,-0.700690,-0.231,0.004241,999
200,5727,1745,frame_000200.jpg,0.998,1.000,0.000,Lap0,0.889005,-0.700976,-0.234,0.006614,999
201,5781,1799,frame_000201.jpg,0.998,1.000,0.000,Lap0,0.965384,-0.701308,-0.307,0.005114,999
202,5832,1849,frame_000202.jpg,0.997,1.000,0.000,Lap0,1.034272,-0.701699,-0.388,0.006112,999
203,5884,1902,frame_000203.jpg,0.997,1.000,0.000,Lap0,1.104581,-0.702184,-0.428,0.004625,999
204,5935,1952,frame_000204.jpg,0.997,1.000,0.000,Lap0,1.170722,-0.702676,-0.425,0.006036,999
205,5991,2008,frame_000205.jpg,0.997,1.000,0.000,Lap0,1.246905,-0.703326,-0.626,0.005554,999
206,6046,2063,frame_000206.jpg,0.997,1.000,0.000,Lap0,1.321738,-0.704372,-1.156,0.006599,999
207,6097,2115,frame_000207.jpg,0.996,1.000,0.000,Lap0,1.392216,-0.705909,-1.538,0.004877,999
208,6151,2169,frame_000208.jpg,0.996,1.000,0.000,Lap0,1.462099,-0.707776,-1.573,0.005860,999
209,6207,2225,frame_000209.jpg,0.996,1.000,0.000,Lap0,1.536930,-0.709844,-1.521,0.005333,999
210,6259,2277,frame_000210.jpg,0.996,0.000,0.100,Lap0,1.597893,-0.710770,-1.337,0.004483,999
211,6311,2329,frame_000211.jpg,0.996,0.000,0.200,Lap0,1.626199,-0.709563,-0.617,0.004497,999
212,6365,2383,frame_000212.jpg,0.996,0.000,0.300,Lap0,1.638068,-0.708095,0.507,0.004133,999
213,6418,2436,frame_000213.jpg,0.996,0.000,0.400,Lap0,1.646744,-0.706794,1.322,0.004047,999
214,6474,2492,frame_000214.jpg,0.996,0.000,0.400,Lap0,1.649708,-0.705732,2.123,0.004043,999
215,6528,2546,frame_000215.jpg,0.996,0.250,0.500,Lap0,1.655563,-0.705255,2.697,0.004062,999
216,6583,2601,frame_000216.jpg,0.996,0.500,0.524,Lap0,1.666334,-0.703295,3.422,0.004085,999
217,6634,2652,frame_000217.jpg,0.996,0.750,0.524,Lap0,1.690279,-0.697320,5.345,0.004106,999
218,6690,2708,frame_000218.jpg,0.996,0.000,0.524,Lap0,1.719876,-0.687624,8.957,0.004126,999
219,6749,2767,frame_000219.jpg,0.996,0.000,0.524,Lap0,1.731257,-0.681899,12.544,0.004147,999
220,6800,2818,frame_000220.jpg,0.996,0.250,0.524,Lap0,1.736757,-0.679108,14.071,0.004165,999
221,6852,2870,frame_000221.jpg,0.996,0.500,0.524,Lap0,1.746934,-0.675170,15.262,0.004180,999
222,6908,2926,frame_000222.jpg,0.996,0.750,0.524,Lap0,1.772368,-0.662928,17.506,0.004194,999
223,6963,2981,frame_000223.jpg,0.996,0.750,0.524,Lap0,1.808020,-0.643465,21.260,0.004205,999
224,7018,3036,frame_000224.jpg,0.995,1.000,0.524,Lap0,1.848486,-0.617801,26.126,0.004763,999
225,7071,3089,frame_000225.jpg,0.995,1.000,0.524,Lap0,1.897515,-0.584733,31.171,0.007068,999
226,7123,3141,frame_000226.jpg,0.995,0.000,0.524,Lap0,1.949853,-0.547814,35.469,0.005166,999
227,7173,3191,frame_000227.jpg,0.995,0.000,0.524,Lap0,1.970117,-0.527631,38.889,0.004545,999
228,7227,3245,frame_000228.jpg,0.995,0.000,0.524,Lap0,1.976496,-0.518130,42.042,0.003737,999
229,7279,3297,frame_000229.jpg,0.995,0.000,0.524,Lap0,1.979983,-0.512664,43.733,0.003547,999
