id,session_time_ms,race_time_ms,filename,soc,drive_torque,steer_angle,status,pos_z,pos_x,yaw,pos_y,error_code
44,0,0,frame_000044.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.7,-0.0,0.001974,999
45,55,0,frame_000045.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.7,-0.0,-6.7e-05,999
46,109,0,frame_000046.jpg,1.0,0.0,-0.0,StartSequence,3e-06,-0.700001,-0.0,4.4e-05,999
47,164,0,frame_000047.jpg,1.0,0.0,-0.0,StartSequence,4e-06,-0.700001,-0.0,0.000114,999
48,218,0,frame_000048.jpg,1.0,0.0,-0.0,StartSequence,4e-06,-0.700001,-0.0,0.000382,999
49,273,0,frame_000049.jpg,1.0,0.0,-0.0,StartSequence,4e-06,-0.700001,-0.0,0.000702,999
50,327,0,frame_000050.jpg,1.0,0.0,-0.0,StartSequence,4e-06,-0.700001,-0.0,0.001016,999
51,382,0,frame_000051.jpg,1.0,0.0,-0.0,StartSequence,4e-06,-0.700001,-0.0,0.001309,999
52,436,0,frame_000052.jpg,1.0,0.0,-0.0,StartSequence,3e-06,-0.700001,-0.0,0.001578,999
53,491,0,frame_000053.jpg,1.0,0.0,-0.0,StartSequence,3e-06,-0.700001,-0.0,0.001823,999
54,545,0,frame_000054.jpg,1.0,0.0,-0.0,StartSequence,3e-06,-0.700001,-0.0,0.002047,999
55,600,0,frame_000055.jpg,1.0,0.0,-0.0,StartSequence,3e-06,-0.700001,-0.0,0.002251,999
56,654,0,frame_000056.jpg,1.0,0.0,-0.0,StartSequence,3e-06,-0.700001,-0.0,0.002437,999
57,709,0,frame_000057.jpg,1.0,0.0,-0.0,StartSequence,2e-06,-0.700001,-0.0,0.002607,999
58,764,0,frame_000058.jpg,1.0,0.0,-0.0,StartSequence,2e-06,-0.7,-0.0,0.002762,999
59,818,0,frame_000059.jpg,1.0,0.0,-0.0,StartSequence,2e-06,-0.7,-0.0,0.002902,999
60,873,0,frame_000060.jpg,1.0,0.0,-0.0,StartSequence,2e-06,-0.7,-0.0,0.003031,999
61,927,0,frame_000061.jpg,1.0,0.0,-0.0,StartSequence,2e-06,-0.7,-0.0,0.003148,999
62,982,0,frame_000062.jpg,1.0,0.0,-0.0,StartSequence,2e-06,-0.7,-0.0,0.003255,999
63,1036,0,frame_000063.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.7,-0.0,0.003352,999
64,1091,0,frame_000064.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.7,-0.0,0.00344,999
65,1145,0,frame_000065.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699999,-0.0,0.003521,999
66,1200,0,frame_000066.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699999,-0.0,0.003595,999
67,1254,0,frame_000067.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699999,-0.0,0.003662,999
68,1309,0,frame_000068.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699999,-0.0,0.003723,999
69,1364,0,frame_000069.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699999,-0.0,0.003779,999
70,1418,0,frame_000070.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699999,-0.0,0.003829,999
71,1473,0,frame_000071.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.003876,999
72,1527,0,frame_000072.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.003918,999
73,1582,0,frame_000073.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.003956,999
74,1636,0,frame_000074.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.003991,999
75,1691,0,frame_000075.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.004023,999
76,1745,0,frame_000076.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.004052,999
77,1800,0,frame_000077.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.004079,999
78,1854,0,frame_000078.jpg,1.0,0.0,-0.0,StartSequence,1e-06,-0.699998,-0.0,0.004103,999
79,1909,0,frame_000079.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004125,999
80,1964,0,frame_000080.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004145,999
81,2018,0,frame_000081.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004163,999
82,2073,0,frame_000082.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.00418,999
83,2127,0,frame_000083.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004195,999
84,2182,0,frame_000084.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004209,999
85,2236,0,frame_000085.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004222,999
86,2291,0,frame_000086.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004233,999
87,2345,0,frame_000087.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004244,999
88,2400,0,frame_000088.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004253,999
89,2454,0,frame_000089.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004262,999
90,2509,0,frame_000090.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.00427,999
91,2564,0,frame_000091.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004277,999
92,2618,0,frame_000092.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004284,999
93,2673,0,frame_000093.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.00429,999
94,2727,0,frame_000094.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004295,999
95,2782,0,frame_000095.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.0043,999
96,2836,0,frame_000096.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004305,999
97,2891,0,frame_000097.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004309,999
98,2945,0,frame_000098.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004313,999
99,3000,0,frame_000099.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004316,999
100,3054,0,frame_000100.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004319,999
101,3109,0,frame_000101.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004322,999
102,3164,0,frame_000102.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004325,999
103,3218,0,frame_000103.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004327,999
104,3273,0,frame_000104.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004329,999
105,3327,0,frame_000105.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004331,999
106,3382,0,frame_000106.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004333,999
107,3436,0,frame_000107.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004335,999
108,3491,0,frame_000108.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004336,999
109,3545,0,frame_000109.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004337,999
110,3600,0,frame_000110.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004339,999
111,3654,0,frame_000111.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.00434,999
112,3709,0,frame_000112.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004341,999
113,3764,0,frame_000113.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004342,999
114,3818,0,frame_000114.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004343,999
115,3873,0,frame_000115.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004343,999
116,3927,0,frame_000116.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004344,999
117,3982,0,frame_000117.jpg,1.0,0.0,-0.0,StartSequence,0.0,-0.699998,-0.0,0.004345,999
118,4036,36,frame_000118.jpg,1.0,0.0,-0.0,Lap0,0.0,-0.699998,-0.0,0.004345,999
119,4091,91,frame_000119.jpg,1.0,0.424,-0.118,Lap0,0.00044,-0.699995,-0.001,0.004346,999
120,4145,145,frame_000120.jpg,1.0,0.442,-0.123,Lap0,0.014667,-0.699529,-0.131,0.004346,999
121,4200,200,frame_000121.jpg,1.0,0.576,-0.158,Lap0,0.040586,-0.698195,-0.671,0.004347,999
122,4254,255,frame_000122.jpg,1.0,0.608,-0.179,Lap0,0.074784,-0.695729,-1.663,0.004347,999
123,4309,309,frame_000123.jpg,1.0,0.609,-0.18,Lap0,0.113524,-0.691873,-3.055,0.004347,999
124,4364,364,frame_000124.jpg,1.0,0.607,-0.205,Lap0,0.154645,-0.68645,-4.779,0.004347,999
125,4418,418,frame_000125.jpg,1.0,0.607,-0.205,Lap0,0.196369,-0.679295,-6.799,0.004346,999
126,4473,473,frame_000126.jpg,1.0,0.603,-0.217,Lap0,0.23808,-0.670485,-8.985,0.004346,999
127,4527,527,frame_000127.jpg,1.0,0.461,-0.187,Lap0,0.27937,-0.659982,-11.296,0.004345,999
128,4582,582,frame_000128.jpg,1.0,0.426,-0.18,Lap0,0.316331,-0.649347,-13.458,0.004344,999
129,4636,636,frame_000129.jpg,1.0,0.471,0.218,Lap0,0.348879,-0.639776,-15.148,0.004344,999
130,4691,691,frame_000130.jpg,1.0,0.471,0.218,Lap0,0.38146,-0.63391,-14.692,0.004343,999
131,4745,745,frame_000131.jpg,1.0,0.386,0.332,Lap0,0.412996,-0.629834,-12.881,0.004342,999
132,4800,800,frame_000132.jpg,0.999,0.361,0.298,Lap0,0.441846,-0.627489,-10.395,0.004341,999
133,4854,855,frame_000133.jpg,0.999,0.361,0.298,Lap0,0.469319,-0.626081,-7.936,0.004638,999
134,4909,909,frame_000134.jpg,0.999,0.562,0.196,Lap0,0.497514,-0.625128,-5.698,0.004863,999
135,4964,964,frame_000135.jpg,0.999,0.66,0.075,Lap0,0.533303,-0.624097,-3.82,0.005141,999
136,5018,1018,frame_000136.jpg,0.999,0.684,0.045,Lap0,0.575654,-0.622574,-2.405,0.005467,999
137,5073,1073,frame_000137.jpg,0.999,0.45,-0.367,Lap0,0.623405,-0.621011,-1.586,0.004981,999
138,5127,1127,frame_000138.jpg,0.999,0.45,-0.368,Lap0,0.664288,-0.615355,-2.708,0.0052,999
139,5182,1182,frame_000139.jpg,0.999,0.38,-0.483,Lap0,0.697581,-0.608041,-5.425,0.004354,999
140,5236,1236,frame_000140.jpg,0.999,0.547,-0.282,Lap0,0.725829,-0.599741,-8.902,0.00423,999
141,5291,1291,frame_000141.jpg,0.999,0.547,-0.282,Lap0,0.758313,-0.590817,-11.791,0.005108,999
142,5345,1345,frame_000142.jpg,0.999,0.409,0.344,Lap0,0.793266,-0.583974,-13.219,0.005232,999
143,5400,1400,frame_000143.jpg,0.999,0.368,0.499,Lap0,0.825208,-0.580043,-12.184,0.004743,999
144,5454,1455,frame_000144.jpg,0.999,0.368,0.5,Lap0,0.854418,-0.578894,-9.717,0.005027,999
145,5509,1509,frame_000145.jpg,0.999,0.355,0.203,Lap0,0.881303,-0.579412,-6.605,0.004375,999
146,5564,1564,frame_000146.jpg,0.999,0.355,0.203,Lap0,0.90771,-0.578593,-4.285,0.004652,999
147,5618,1618,frame_000147.jpg,0.999,0.107,0.013,Lap0,0.931563,-0.578028,-2.801,0.004593,999
148,5673,1673,frame_000148.jpg,0.999,0.107,0.013,Lap0,0.947034,-0.57746,-2.214,0.004481,999
149,5727,1727,frame_000149.jpg,0.999,0.469,-0.127,Lap0,0.964837,-0.576236,-2.222,0.004388,999
150,5782,1782,frame_000150.jpg,0.999,0.569,-0.141,Lap0,0.992721,-0.573911,-2.779,0.004887,999
151,5836,1836,frame_000151.jpg,0.999,0.594,-0.145,Lap0,1.027691,-0.570605,-3.67,0.005062,999
152,5891,1891,frame_000152.jpg,0.999,0.593,-0.208,Lap0,1.067866,-0.565798,-4.848,0.004845,999
153,5945,1945,frame_000153.jpg,0.999,0.593,-0.208,Lap0,1.110084,-0.559325,-6.33,0.004987,999
154,6000,2000,frame_000154.jpg,0.999,0.423,-0.428,Lap0,1.15022,-0.550377,-8.252,0.005514,999
155,6054,2055,frame_000155.jpg,0.999,0.372,-0.505,Lap0,1.183294,-0.53976,-11.171,0.004579,999
156,6109,2109,frame_000156.jpg,0.999,0.372,-0.506,Lap0,1.210396,-0.528115,-14.792,0.004532,999
157,6164,2164,frame_000157.jpg,0.999,0.578,-0.24,Lap0,1.238299,-0.516403,-18.077,0.004612,999
158,6218,2218,frame_000158.jpg,0.999,0.662,-0.126,Lap0,1.273079,-0.501711,-20.58,0.00558,999
159,6273,2273,frame_000159.jpg,0.999,0.663,-0.125,Lap0,1.313834,-0.484209,-22.392,0.004845,999
160,6327,2327,frame_000160.jpg,0.998,0.703,-0.006,Lap0,1.357026,-0.464702,-23.655,0.005602,999
161,6382,2382,frame_000161.jpg,0.998,0.466,-0.389,Lap0,1.402781,-0.444146,-24.387,0.004399,999
162,6436,2436,frame_000162.jpg,0.998,0.456,-0.405,Lap0,1.440763,-0.421317,-26.181,0.0052,999
163,6491,2491,frame_000163.jpg,0.998,0.382,-0.264,Lap0,1.471166,-0.400762,-28.982,0.004506,999
164,6545,2545,frame_000164.jpg,0.998,0.364,0.218,Lap0,1.496976,-0.382371,-31.549,0.004495,999
165,6600,2600,frame_000165.jpg,0.998,0.359,0.338,Lap0,1.522553,-0.36995,-31.741,0.004511,999
166,6654,2655,frame_000166.jpg,0.998,0.11,0.522,Lap0,1.546502,-0.359373,-30.15,0.004604,999
167,6709,2709,frame_000167.jpg,0.998,0.108,0.524,Lap0,1.563766,-0.3542,-27.633,0.004562,999
168,6764,2764,frame_000168.jpg,0.998,0.032,0.524,Lap0,1.574704,-0.351591,-25.329,0.004298,999
