id,session_time_ms,race_time_ms,filename,soc,drive_torque,steer_angle,status,pos_z,pos_x,yaw,pos_y,error_code
42,0,0,frame_000042.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700000,0.000,0.001217,999
43,55,0,frame_000043.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700000,0.000,-0.000008,999
44,109,0,frame_000044.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.000046,999
45,164,0,frame_000045.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.000158,999
46,218,0,frame_000046.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.000444,999
47,273,0,frame_000047.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.000766,999
48,327,0,frame_000048.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.001076,999
49,382,0,frame_000049.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.001364,999
50,436,0,frame_000050.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.001629,999
51,491,0,frame_000051.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.001870,999
52,545,0,frame_000052.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.002089,999
53,600,0,frame_000053.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.002290,999
54,655,0,frame_000054.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.002473,999
55,709,0,frame_000055.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700001,0.000,0.002639,999
56,764,0,frame_000056.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.002791,999
57,818,0,frame_000057.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.002929,999
58,873,0,frame_000058.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.003055,999
59,927,0,frame_000059.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.003170,999
60,982,0,frame_000060.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.003275,999
61,1036,0,frame_000061.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.700000,0.000,0.003370,999
62,1091,0,frame_000062.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003457,999
63,1145,0,frame_000063.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003536,999
64,1200,0,frame_000064.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003609,999
65,1255,0,frame_000065.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003675,999
66,1309,0,frame_000066.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003734,999
67,1364,0,frame_000067.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003789,999
68,1418,0,frame_000068.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003839,999
69,1473,0,frame_000069.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003884,999
70,1527,0,frame_000070.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003926,999
71,1582,0,frame_000071.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003964,999
72,1636,0,frame_000072.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003998,999
73,1691,0,frame_000073.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004029,999
74,1745,0,frame_000074.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004058,999
75,1800,0,frame_000075.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004084,999
76,1855,0,frame_000076.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004108,999
77,1909,0,frame_000077.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004129,999
78,1964,0,frame_000078.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004149,999
79,2018,0,frame_000079.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004167,999
80,2073,0,frame_000080.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004183,999
81,2127,0,frame_000081.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004198,999
82,2182,0,frame_000082.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004212,999
83,2236,0,frame_000083.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004224,999
84,2291,0,frame_000084.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004235,999
85,2345,0,frame_000085.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004246,999
86,2400,0,frame_000086.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004255,999
87,2455,0,frame_000087.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004264,999
88,2509,0,frame_000088.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004271,999
89,2564,0,frame_000089.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004278,999
90,2618,0,frame_000090.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004285,999
91,2673,0,frame_000091.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004291,999
92,2727,0,frame_000092.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004296,999
93,2782,0,frame_000093.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004301,999
94,2836,0,frame_000094.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004306,999
95,2891,0,frame_000095.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004310,999
96,2945,0,frame_000096.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004313,999
97,3000,0,frame_000097.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004317,999
98,3054,0,frame_000098.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004320,999
99,3109,0,frame_000099.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004323,999
100,3164,0,frame_000100.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004325,999
101,3218,0,frame_000101.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004328,999
102,3273,0,frame_000102.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004330,999
103,3327,0,frame_000103.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004332,999
104,3382,0,frame_000104.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004333,999
105,3436,0,frame_000105.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004335,999
106,3491,0,frame_000106.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004336,999
107,3545,0,frame_000107.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004338,999
108,3600,0,frame_000108.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004339,999
109,3654,0,frame_000109.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004340,999
110,3709,0,frame_000110.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004341,999
111,3764,0,frame_000111.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004342,999
112,3818,0,frame_000112.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004343,999
113,3873,0,frame_000113.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004344,999
114,3927,0,frame_000114.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004344,999
115,3982,0,frame_000115.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004345,999
116,4036,42,frame_000116.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.699998,0.000,0.004346,999
117,4091,97,frame_000117.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.699998,0.000,0.004346,999
118,4145,152,frame_000118.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.699998,0.000,0.004347,999
119,4200,206,frame_000119.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.699998,0.000,0.004347,999
120,4255,261,frame_000120.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.699998,0.000,0.004347,999
121,4309,315,frame_000121.jpg,1.000,0.000,0.000,Lap0,0.000000,-0.699998,0.000,0.004348,999
