time_id,drive_torque,steer_angle
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.524
63,0.0,0.524
64,0.0,0.524
65,0.0,0.524
66,0.0,0.5
67,0.0,0.387
68,0.0,0.216
69,0.0,0.02
70,0.0,0.093
71,0.0,0.138
72,0.0,0.155
73,0.0,0.105
74,0.332,0.004
75,0.415,0.06
76,0.54,0.075
77,0.574,0.073
78,0.562,0.067
79,0.562,0.061
80,0.551,0.034
81,0.548,0.012
82,0.409,0.052
83,0.368,0.073
84,0.393,0.076
85,0.392,0.07
86,0.392,-0.067
87,0.403,-0.053
88,0.474,-0.021
89,0.387,-0.008
90,0.362,0.024
91,0.361,0.032
92,0.353,0.038
93,0.616,0.045
94,0.661,0.05
95,0.644,0.052
96,0.644,0.051
97,0.438,0.053
98,0.376,0.061
99,0.358,0.082
100,0.358,0.112
101,0.563,0.128
102,0.669,0.123
103,0.446,0.105
104,0.446,0.076
105,0.379,0.04
106,0.492,0.015
107,0.565,0.006
108,0.565,0.011
109,0.415,0.022
110,0.369,0.043
111,0.413,0.08
112,0.413,0.121
113,0.429,0.153
114,0.524,0.164
115,0.402,0.168
116,0.402,0.194
117,0.366,0.24
118,0.355,0.258
119,0.106,0.219
120,0.106,0.178
121,0.032,0.169
122,0.01,0.192
123,0.248,0.226
124,0.318,0.242
125,0.319,0.235
126,0.341,0.212
127,0.102,0.203
128,0.102,0.199
129,0.031,0.19
130,0.009,0.18
131,0.246,0.164
132,0.305,0.165
133,0.319,0.21
134,0.341,0.101
135,0.112,0.136
136,0.102,0.073
137,0.031,0.184
138,0.009,0.102
139,0.238,0.146
140,0.248,0.06
141,0.319,0.077
142,0.5,0.26
143,0.551,0.422
144,0.553,0.052
145,0.636,0.019
146,0.436,0.201
147,0.436,0.051
148,0.376,0.302
149,0.358,0.32
150,0.107,0.264
151,0.107,0.167
152,0.32,0.128
153,0.341,0.171
154,0.347,0.208
155,0.516,0.209
156,0.523,0.249
157,0.402,0.33
158,0.495,0.419
159,0.495,0.511
160,0.394,0.524
161,0.363,0.524
162,0.354,0.524
163,0.354,0.435
164,0.106,0.287
165,0.032,0.524
166,0.01,0.524
167,0.01,0.524
168,0.248,0.524
169,0.251,0.524
170,0.234,0.524
171,0.214,0.524
172,0.213,0.524
173,0.309,0.524
174,0.269,0.524
175,0.269,0.524
176,0.326,0.524
177,0.098,0.524
178,0.029,0.524
179,0.029,0.524
180,0.009,0.437
181,0.248,0.205
182,0.319,0.24
183,0.319,0.513
184,0.341,0.524
185,0.102,0.524
186,0.032,0.524
187,0.031,0.524
188,0.009,0.524
189,0.248,0.524
190,0.319,0.524
191,0.319,0.524
192,0.341,0.524
193,0.102,0.47
194,0.031,0.32
195,0.031,0.387
196,0.009,0.516
197,0.248,0.524
198,0.318,0.524
199,0.319,0.524
200,0.341,0.524
201,0.285,0.447
202,0.25,0.32
203,0.25,0.313
204,0.223,0.432
205,0.2,0.524
206,0.06,0.524
207,0.02,0.524
208,0.018,0.524
209,0.005,0.502
210,0.247,0.364
211,0.305,0.359
212,0.319,0.456
213,0.341,0.524
214,0.102,0.524
215,0.102,0.524
216,0.031,0.524
217,0.009,0.524
218,0.248,0.524
219,0.318,0.524
220,0.319,0.524
221,0.341,0.524
222,0.102,0.524
223,0.034,0.39
224,0.031,0.281
225,0.009,0.213
226,0.248,0.213
227,0.305,0.216
228,0.319,0.203
229,0.341,0.187
230,0.102,0.151
231,0.396,0.12
232,0.398,0.096
233,0.364,0.074
234,0.566,0.078
235,0.566,0.086
236,0.655,0.075
237,0.694,0.052
238,0.693,0.024
239,0.685,0.006
240,0.685,0.004
241,0.666,0.014
242,0.678,0.031
243,0.661,0.044
244,0.487,0.046
245,0.443,0.034
246,0.378,0.02
247,0.358,0.014
248,0.508,0.005
249,0.514,0.005
250,0.551,0.006
251,0.41,0.002
252,0.368,0.006
253,0.495,-0.016
254,0.547,-0.025
255,0.549,0.032
256,0.41,0.037
257,0.37,0.04
258,0.368,0.045
259,0.355,0.042
260,0.107,0.015
261,0.378,0.022
262,0.38,0.053
263,0.452,0.065
264,0.48,-0.049
265,0.483,-0.025
266,0.483,-0.001
267,0.39,-0.024
268,0.362,-0.043
269,0.354,0.054
270,0.354,0.058
271,0.106,0.049
272,0.033,0.022
273,0.032,0.015
274,0.355,0.052
275,0.428,0.072
276,0.427,-0.054
277,0.433,-0.015
278,0.456,-0.014
279,0.457,-0.04
280,0.382,-0.068
281,0.36,0.088
282,0.353,0.084
283,0.353,0.052
284,0.106,0.004
285,0.032,0.036
286,0.011,0.064
287,0.01,0.065
288,0.31,-0.04
289,0.394,-0.015
290,0.413,-0.002
291,0.413,-0.022
292,0.369,-0.043
293,0.356,-0.061
294,0.476,0.065
295,0.406,0.042
296,0.388,0.004
297,0.361,0.021
298,0.353,0.029
299,0.4,0.032
300,0.407,-0.032
301,0.409,-0.025
302,0.413,-0.018
303,0.369,-0.012
304,0.369,-0.007
305,0.356,-0.002
306,0.484,-0.0
307,0.534,-0.004
308,0.406,-0.013
309,0.375,0.02
310,0.367,-0.028
311,0.374,-0.036
312,0.367,-0.037
313,0.355,-0.027
314,0.352,-0.011
315,0.352,-0.007
316,0.598,-0.024
317,0.702,-0.038
318,0.715,0.047
319,0.736,0.048
320,0.737,0.05
321,0.678,0.054
322,0.72,0.059
323,0.719,0.062
324,0.732,0.059
325,0.735,0.048
326,0.659,0.039
327,0.611,0.039
328,0.571,0.048
329,0.463,0.071
330,0.458,0.097
331,0.488,0.115
332,0.419,0.122
333,0.408,0.138
334,0.408,0.179
335,0.511,0.224
336,0.398,0.263
337,0.365,0.29
338,0.364,0.298
339,0.354,0.299
340,0.106,0.327
341,0.033,0.378
342,0.011,0.429
343,0.01,0.505
344,0.248,0.524
345,0.319,0.524
346,0.341,0.524
347,0.15,0.524
348,0.102,0.524
349,0.418,0.524
350,0.371,0.524
351,0.356,0.524
352,0.352,0.524
353,0.155,0.524
354,0.106,0.524
355,0.032,0.524
356,0.009,0.524
357,0.179,0.481
358,0.298,0.354
359,0.273,0.31
360,0.266,0.389
361,0.239,0.524
362,0.314,0.524
363,0.317,0.524
364,0.34,0.524
365,0.102,0.524
366,0.031,0.524
367,0.01,0.524
368,0.009,0.524
369,0.248,0.524
370,0.319,0.524
371,0.341,0.524
372,0.104,0.524
373,0.034,0.524
374,0.031,0.524
375,0.009,0.524
376,0.248,0.524
377,0.319,0.499
378,0.341,0.092
379,0.15,0.119
380,0.102,0.524
381,0.031,0.524
382,0.009,0.524
383,0.009,0.524
384,0.248,0.505
385,0.251,0.482
386,0.234,0.456
387,0.312,0.448
388,0.315,0.495
389,0.34,0.524
390,0.102,0.524
391,0.031,0.524
392,0.186,0.524
393,0.061,0.524
394,0.056,0.524
395,0.262,0.524
396,0.324,0.524
397,0.342,0.524
398,0.279,0.524
399,0.086,0.524
400,0.037,0.524
401,0.025,0.524
402,0.008,0.515
403,0.247,0.524
404,0.319,0.5
405,0.341,0.411
406,0.112,0.264
407,0.102,0.149
408,0.031,0.286
409,0.009,0.481
410,0.332,0.383
411,0.502,0.226
412,0.503,0.213
413,0.658,0.243
414,0.517,0.237
415,0.617,0.186
416,0.43,0.148
417,0.376,0.122
418,0.36,0.074
419,0.357,0.053
420,0.107,0.066
421,0.032,0.073
