time_id,drive_torque,steer_angle
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.524
74,0.749,0.34
75,0.76,0.215
76,0.729,0.173
77,0.655,0.164
78,0.58,0.177
79,0.567,0.195
80,0.667,0.199
81,1.0,0.156
82,1.0,0.041
83,0.331,0.116
84,0.112,0.285
85,0.332,-0.421
86,0.989,-0.354
87,1.0,-0.071
88,0.164,-0.172
89,0.258,-0.301
90,0.384,-0.381
91,0.699,0.336
92,1.0,0.152
93,1.0,0.022
94,0.375,0.133
95,0.382,0.199
96,0.349,-0.265
97,0.3,-0.364
98,0.366,-0.441
99,0.821,-0.377
100,1.0,-0.11
101,0.368,-0.16
102,0.303,-0.282
103,0.417,-0.309
104,0.387,0.343
105,0.409,0.381
106,0.509,0.345
107,0.548,0.282
108,0.464,0.274
109,0.361,0.324
110,0.333,0.399
111,0.385,0.431
112,0.447,0.391
113,0.471,0.356
114,0.571,0.325
115,1.0,0.224
116,1.0,0.08
117,0.534,0.069
118,-0.166,0.305
119,0.071,0.524
120,0.111,-0.524
121,0.17,-0.524
122,0.366,-0.524
123,0.363,-0.5
124,0.177,-0.524
125,0.366,-0.524
126,0.324,-0.524
127,0.193,-0.524
128,0.168,0.524
129,0.138,0.524
130,-0.016,0.524
131,0.144,0.524
132,0.666,-0.524
133,0.838,-0.2
134,0.297,-0.315
135,0.244,-0.373
136,0.042,-0.524
137,0.034,-0.524
138,0.192,0.524
139,0.787,0.524
140,1.0,0.133
141,1.0,0.059
142,1.0,0.027
143,0.782,0.052
144,0.408,0.127
145,0.402,0.19
146,0.641,0.246
147,0.697,0.136
148,0.033,0.283
149,0.011,0.524
150,0.138,0.524
151,-0.083,0.524
152,-0.02,0.524
153,0.118,0.524
154,0.083,0.524
155,0.029,0.524
156,0.074,0.524
157,0.126,0.524
158,0.315,-0.524
159,0.307,-0.524
160,-0.047,0.524
161,0.159,0.524
162,0.291,0.524
163,0.101,0.524
164,-0.034,0.524
165,0.169,0.524
166,0.786,0.524
167,1.0,0.014
168,0.43,0.066
169,-0.179,0.524
170,0.287,0.524
171,0.283,0.524
172,0.296,0.524
173,0.346,0.524
174,0.339,0.524
175,0.304,0.524
176,0.275,0.524
177,0.246,0.524
178,0.19,0.524
179,0.117,0.524
180,0.232,0.524
181,0.361,0.524
182,0.331,0.524
183,0.4,0.524
184,0.431,0.425
185,0.221,0.463
186,0.053,0.524
187,0.643,0.524
188,1.0,0.092
189,0.707,0.044
190,0.02,0.326
191,0.541,0.27
192,0.401,0.28
193,0.251,0.394
194,0.188,0.524
195,0.134,0.524
196,0.173,0.524
197,0.309,0.524
198,0.423,0.524
199,0.485,0.461
200,0.494,0.358
201,0.428,0.341
202,0.372,0.375
203,0.338,0.411
204,0.295,0.478
205,0.269,0.524
206,0.203,0.524
207,0.125,0.524
208,0.205,0.524
209,0.322,0.524
210,0.342,0.524
211,0.417,0.524
212,0.422,0.433
213,0.317,0.455
214,0.229,0.524
215,0.147,0.524
216,0.14,0.524
217,0.234,0.524
218,0.321,0.524
219,0.422,0.524
220,0.459,0.44
221,0.358,0.422
222,0.265,0.5
223,0.23,0.524
224,0.326,0.524
225,0.422,0.475
226,0.321,0.507
227,0.377,0.524
228,0.449,0.415
229,0.373,0.399
230,0.344,0.466
231,0.531,0.433
232,0.918,0.248
233,1.0,0.114
234,1.0,0.078
235,1.0,0.026
236,1.0,0.005
237,1.0,0.004
238,1.0,0.011
239,1.0,0.026
240,1.0,-0.041
241,1.0,-0.034
242,1.0,-0.009
243,0.767,-0.065
244,0.358,-0.132
245,0.384,0.211
246,0.642,0.243
247,1.0,0.15
248,0.989,0.019
249,0.299,0.155
250,0.486,0.211
251,0.613,-0.206
252,0.74,-0.192
253,1.0,-0.137
254,1.0,-0.016
255,0.445,-0.11
256,0.284,-0.204
257,0.358,0.285
258,0.498,0.332
259,1.0,0.234
260,0.937,0.043
261,-0.08,0.297
262,0.378,0.412
263,0.78,-0.313
264,1.0,-0.134
265,1.0,-0.012
266,0.621,-0.082
267,0.208,-0.181
268,0.333,-0.273
269,0.387,0.333
270,0.488,0.346
271,0.862,0.27
272,0.649,0.06
273,-0.208,0.524
274,0.307,0.524
275,0.569,-0.491
276,0.889,-0.266
277,1.0,-0.125
278,1.0,-0.015
279,0.501,-0.095
280,0.198,-0.211
281,0.34,-0.303
282,0.393,0.348
283,0.412,0.359
284,0.535,0.368
285,0.404,0.229
286,-0.085,0.524
287,0.201,0.524
288,0.79,0.524
289,1.0,-0.134
290,1.0,-0.056
291,0.421,-0.12
292,0.351,-0.197
293,0.436,-0.26
294,0.582,0.259
295,0.873,0.204
296,1.0,0.109
297,0.821,0.028
298,0.151,0.18
299,0.312,0.299
300,0.528,-0.323
301,1.0,-0.225
302,1.0,-0.076
303,0.655,-0.065
304,0.22,-0.185
305,0.571,-0.223
306,0.878,0.178
307,1.0,0.109
308,1.0,0.014
309,0.54,0.099
310,0.39,0.176
311,0.6,-0.198
312,0.987,-0.175
313,1.0,-0.079
314,1.0,-0.04
315,1.0,-0.057
316,1.0,-0.019
317,1.0,-0.003
318,1.0,0.013
319,1.0,0.018
320,1.0,-0.019
321,1.0,-0.02
322,1.0,-0.021
323,1.0,-0.023
324,1.0,-0.032
325,1.0,-0.03
326,1.0,-0.002
327,0.866,-0.042
328,0.494,-0.102
329,0.273,0.193
330,0.343,0.284
331,0.401,0.331
332,0.43,0.342
333,0.423,0.344
334,0.389,0.362
335,0.355,0.399
336,0.328,0.44
337,0.292,0.495
338,0.261,0.524
339,0.254,0.524
340,0.235,0.524
341,0.191,0.524
342,0.269,0.524
343,0.464,0.524
344,0.52,0.399
345,0.509,0.35
346,0.554,0.289
347,0.524,0.264
348,0.475,0.274
349,0.482,0.289
350,0.533,0.275
351,0.498,0.253
352,0.336,0.303
353,0.228,0.443
354,0.201,0.524
355,0.142,0.524
356,0.149,0.524
357,0.299,0.524
358,0.386,0.524
359,0.377,0.524
360,0.38,0.487
361,0.335,0.489
362,0.315,0.524
363,0.316,0.524
364,0.285,0.524
365,0.204,0.524
366,0.116,0.524
367,0.14,0.524
368,0.291,0.524
369,0.445,0.524
370,0.465,0.45
371,0.374,0.422
372,0.286,0.474
373,0.218,0.524
374,0.228,0.524
375,0.315,0.524
376,0.363,0.524
377,0.379,0.524
378,0.378,0.467
379,0.29,0.493
380,0.199,0.524
381,0.15,0.524
382,0.216,0.524
383,0.36,0.524
384,0.334,0.524
385,0.287,0.524
386,0.369,0.524
387,0.376,0.494
388,0.313,0.508
389,0.371,0.524
390,0.206,0.396
391,-0.21,0.524
392,0.078,0.524
393,0.17,0.524
394,0.069,0.524
395,0.044,0.524
396,0.105,0.524
397,0.282,0.524
398,0.428,0.524
399,0.299,0.524
400,0.06,0.524
401,0.033,0.524
402,0.224,0.524
403,0.51,0.524
404,0.578,0.405
405,0.49,0.321
406,0.378,0.348
407,0.351,0.407
408,0.901,0.42
409,1.0,0.0
410,0.752,0.143
411,1.0,0.065
412,0.804,0.114
413,1.0,0.031
414,1.0,0.002
415,0.684,0.076
416,0.24,0.168
