time_id,drive_torque,steer_angle
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.332,0.087
75,0.415,0.109
76,0.54,0.142
77,0.574,0.156
78,0.562,0.181
79,0.562,0.186
80,0.551,0.198
81,0.548,0.201
82,0.409,0.183
83,0.368,0.175
84,0.393,-0.188
85,0.392,-0.306
86,0.392,-0.307
87,0.403,-0.331
88,0.474,-0.271
89,0.387,0.167
90,0.362,0.315
91,0.361,0.321
92,0.353,0.361
93,0.616,0.123
94,0.661,0.086
95,0.644,-0.053
96,0.644,-0.054
97,0.438,-0.383
98,0.376,-0.482
99,0.358,-0.511
100,0.358,-0.511
101,0.563,-0.084
102,0.669,-0.001
103,0.446,0.366
104,0.446,0.367
105,0.379,0.477
106,0.492,0.29
107,0.565,0.194
108,0.565,0.194
109,0.415,0.223
110,0.369,0.381
111,0.413,0.337
112,0.413,0.337
113,0.429,0.32
114,0.524,0.226
115,0.402,0.414
116,0.402,0.414
117,0.366,0.401
118,0.355,-0.247
119,0.106,-0.441
120,0.106,-0.441
121,0.032,-0.499
122,0.01,-0.517
123,0.248,-0.522
124,0.318,-0.523
125,0.319,-0.523
126,0.341,0.05
127,0.102,0.381
128,0.102,0.382
129,0.031,0.481
130,0.009,0.511
131,0.246,-0.207
132,0.305,-0.387
133,0.319,-0.431
134,0.341,-0.496
135,0.112,0.189
136,0.102,0.218
137,0.031,0.432
138,0.009,0.496
139,0.238,0.515
140,0.248,0.516
141,0.319,0.522
142,0.5,0.277
143,0.551,0.208
144,0.553,0.205
145,0.636,0.007
146,0.436,0.318
147,0.436,0.318
148,0.376,0.297
149,0.358,0.456
150,0.107,0.504
151,0.107,0.504
152,0.32,0.388
153,0.341,0.483
154,0.347,0.512
155,0.516,0.27
156,0.523,0.26
157,0.402,0.338
158,0.495,0.252
159,0.495,0.252
160,0.394,0.442
161,0.363,0.446
162,0.354,0.501
163,0.354,0.501
164,0.106,0.517
165,0.032,0.522
166,0.01,0.523
167,0.01,0.523
168,0.248,0.524
169,0.251,0.487
170,0.234,0.443
171,0.214,0.402
172,0.213,0.4
173,0.309,0.487
174,0.269,0.476
175,0.269,0.476
176,0.326,0.51
177,0.098,0.52
178,0.029,0.523
179,0.029,0.523
180,0.009,0.524
181,0.248,0.524
182,0.319,0.524
183,0.319,0.524
184,0.341,0.524
185,0.102,0.524
186,0.032,0.524
187,0.031,0.524
188,0.009,0.524
189,0.248,0.524
190,0.319,0.501
191,0.319,0.501
192,0.341,0.406
193,0.102,0.489
194,0.031,0.385
195,0.031,0.385
196,0.009,0.365
197,0.248,0.326
198,0.318,0.461
199,0.319,0.462
200,0.341,0.46
201,0.285,0.427
202,0.25,0.388
203,0.25,0.388
204,0.223,0.351
205,0.2,0.316
206,0.06,0.462
207,0.02,0.503
208,0.018,0.505
209,0.005,0.518
210,0.247,0.522
211,0.305,0.523
212,0.319,0.523
213,0.341,0.524
214,0.102,0.524
215,0.102,0.524
216,0.031,0.524
217,0.009,0.524
218,0.248,0.524
219,0.318,0.524
220,0.319,0.524
221,0.341,0.524
222,0.102,0.524
223,0.034,0.463
224,0.031,0.46
225,0.009,0.505
226,0.248,0.406
227,0.305,0.378
228,0.319,0.371
229,0.341,0.478
230,0.102,0.51
231,0.396,0.313
232,0.398,0.311
233,0.364,0.46
234,0.566,0.206
235,0.566,0.206
236,0.655,0.102
237,0.694,0.003
238,0.693,-0.039
239,0.685,-0.06
240,0.685,-0.06
241,0.666,-0.082
242,0.678,-0.071
243,0.661,-0.088
244,0.487,0.158
245,0.443,0.22
246,0.378,0.321
247,0.358,0.314
248,0.508,-0.01
249,0.514,-0.024
250,0.551,-0.135
251,0.41,-0.201
252,0.368,-0.212
253,0.495,-0.203
254,0.547,-0.187
255,0.549,-0.186
256,0.41,0.148
257,0.37,0.283
258,0.368,0.289
259,0.355,0.321
260,0.107,0.276
261,0.378,-0.09
262,0.38,-0.093
263,0.452,-0.215
264,0.48,-0.245
265,0.483,-0.258
266,0.483,-0.259
267,0.39,0.103
268,0.362,0.229
269,0.354,0.26
270,0.354,0.261
271,0.106,0.268
272,0.033,0.251
273,0.032,0.251
274,0.355,-0.104
275,0.428,-0.234
276,0.427,-0.297
277,0.433,-0.308
278,0.456,-0.291
279,0.457,-0.29
280,0.382,0.065
281,0.36,0.225
282,0.353,0.277
283,0.353,0.279
284,0.106,0.282
285,0.032,0.223
286,0.011,0.181
287,0.01,0.179
288,0.31,-0.164
289,0.394,-0.273
290,0.413,-0.311
291,0.413,-0.311
292,0.369,0.033
293,0.356,0.155
294,0.476,0.202
295,0.406,0.217
296,0.388,0.221
297,0.361,0.173
298,0.353,0.138
299,0.4,-0.188
300,0.407,-0.272
301,0.409,-0.293
302,0.413,-0.322
303,0.369,-0.002
304,0.369,0.001
305,0.356,0.11
306,0.484,0.18
307,0.534,0.19
308,0.406,0.145
309,0.375,0.097
310,0.367,0.085
311,0.374,-0.235
312,0.367,-0.34
313,0.355,-0.072
314,0.352,0.004
315,0.352,0.005
316,0.598,0.034
317,0.702,0.013
318,0.715,0.025
319,0.736,0.006
320,0.737,0.005
321,0.678,-0.066
322,0.72,-0.012
323,0.719,-0.025
324,0.732,-0.007
325,0.735,-0.002
326,0.659,-0.087
327,0.611,-0.138
328,0.571,0.096
329,0.463,0.259
330,0.458,0.266
331,0.488,0.254
332,0.419,0.328
333,0.408,0.341
334,0.408,0.341
335,0.511,0.238
336,0.398,0.287
337,0.365,0.446
338,0.364,0.453
339,0.354,0.503
340,0.106,0.518
341,0.033,0.434
342,0.011,0.401
343,0.01,0.4
344,0.248,0.413
345,0.319,0.491
346,0.341,0.424
347,0.15,0.42
348,0.102,0.419
349,0.418,0.263
350,0.371,0.262
351,0.356,0.243
352,0.352,0.37
353,0.155,0.281
354,0.106,0.259
355,0.032,0.406
356,0.009,0.489
357,0.179,0.477
358,0.298,0.51
359,0.273,0.488
360,0.266,0.483
361,0.239,0.442
362,0.314,0.497
363,0.317,0.499
364,0.34,0.517
365,0.102,0.522
366,0.031,0.523
367,0.01,0.524
368,0.009,0.524
369,0.248,0.524
370,0.319,0.524
371,0.341,0.524
372,0.104,0.524
373,0.034,0.524
374,0.031,0.524
375,0.009,0.524
376,0.248,0.524
377,0.319,0.524
378,0.341,0.524
379,0.15,0.524
380,0.102,0.524
381,0.031,0.524
382,0.009,0.524
383,0.009,0.524
384,0.248,0.524
385,0.251,0.487
386,0.234,0.443
387,0.312,0.498
388,0.315,0.5
389,0.34,0.517
390,0.102,0.522
391,0.031,0.523
392,0.186,0.487
393,0.061,0.512
394,0.056,0.513
395,0.262,0.521
396,0.324,0.523
397,0.342,0.524
398,0.279,0.487
399,0.086,0.513
400,0.037,0.519
401,0.025,0.521
402,0.008,0.523
403,0.247,0.524
404,0.319,0.524
405,0.341,0.524
406,0.112,0.524
407,0.102,0.524
408,0.031,0.524
409,0.009,0.486
410,0.332,0.34
411,0.502,0.225
412,0.503,0.224
413,0.658,0.085
414,0.517,0.23
415,0.617,0.132
416,0.43,-0.326
417,0.376,0.245
418,0.36,0.411
